Time [s],Channel 0,Channel 1,SDA_O,SDA_T,SCL_O,SCL_T,ena,busy
-2.089716542,1,1,0,1,1,1,0,0
-2.089674833,1,1,0,1,0,1,0,0
-2.089633167,1,1,0,1,1,1,0,0
-2.089591458,1,1,0,1,0,1,0,0
-2.089549792,1,1,0,1,1,1,0,0
-2.089508125,1,1,0,1,0,1,0,0
-2.089466417,1,1,0,1,1,1,0,0
-2.089424750,1,1,0,1,0,1,0,0
-2.089383083,1,1,0,1,1,1,0,0
-2.089341375,1,1,0,1,0,1,0,0
-2.089299708,1,1,0,1,1,1,0,0
-2.089258000,1,1,0,1,0,1,0,0
-2.089216333,1,1,0,1,1,1,0,0
-2.089174667,1,1,0,1,0,1,0,0
-2.089132958,1,1,0,1,1,1,0,0
-2.089091292,1,1,0,1,0,1,0,0
-2.089049583,1,1,0,1,1,1,0,0
-2.089007917,1,1,0,1,0,1,0,0
-2.088966250,1,1,0,1,1,1,0,0
-2.088924542,1,1,0,1,0,1,0,0
-2.088882875,1,1,0,1,1,1,0,0
-2.088841208,1,1,0,1,0,1,0,0
-2.088799500,1,1,0,1,1,1,0,0
-2.088757833,1,1,0,1,0,1,0,0
-2.088716125,1,1,0,1,1,1,0,0
-2.088674458,1,1,0,1,0,1,0,0
-2.088632792,1,1,0,1,1,1,0,0
-2.088591083,1,1,0,1,0,1,0,0
-2.088549417,1,1,0,1,1,1,0,0
-2.088507750,1,1,0,1,0,1,0,0
-2.088466042,1,1,0,1,1,1,0,0
-2.088424375,1,1,0,1,0,1,0,0
-2.088382667,1,1,0,1,1,1,0,0
-2.088341000,1,1,0,1,0,1,0,0
-2.088299333,1,1,0,1,1,1,0,0
-2.088257625,1,1,0,1,0,1,0,0
-2.088215958,1,1,0,1,1,1,0,0
-2.088174250,1,1,0,1,0,1,0,0
-2.088132583,1,1,0,1,1,1,0,0
-2.088090917,1,1,0,1,0,1,0,0
-2.088049208,1,1,0,1,1,1,0,0
-2.088007542,1,1,0,1,0,1,0,0
-2.087965875,1,1,0,1,1,1,0,0
-2.087924167,1,1,0,1,0,1,0,0
-2.087882500,1,1,0,1,1,1,0,0
-2.087840792,1,1,0,1,0,1,0,0
-2.087799125,1,1,0,1,1,1,0,0
-2.087757458,1,1,0,1,0,1,0,0
-2.087715750,1,1,0,1,1,1,0,0
-2.087674083,1,1,0,1,0,1,0,0
-2.087632375,1,1,0,1,1,1,0,0
-2.087590708,1,1,0,1,0,1,0,0
-2.087549042,1,1,0,1,1,1,0,0
-2.087507333,1,1,0,1,0,1,0,0
-2.087465667,1,1,0,1,1,1,0,0
-2.087424000,1,1,0,1,0,1,0,0
-2.087382292,1,1,0,1,1,1,0,0
-2.087340625,1,1,0,1,0,1,0,0
-2.087298917,1,1,0,1,1,1,0,0
-2.087257250,1,1,0,1,0,1,0,0
-2.087215583,1,1,0,1,1,1,0,0
-2.087173875,1,1,0,1,0,1,0,0
-2.087132208,1,1,0,1,1,1,0,0
-2.087090500,1,1,0,1,0,1,0,0
-2.087048833,1,1,0,1,1,1,0,0
-2.087007167,1,1,0,1,0,1,0,0
-2.086965458,1,1,0,1,1,1,0,0
-2.086923792,1,1,0,1,0,1,0,0
-2.086882125,1,1,0,1,1,1,0,0
-2.086840417,1,1,0,1,0,1,0,0
-2.086798750,1,1,0,1,1,1,0,0
-2.086757042,1,1,0,1,0,1,0,0
-2.086715375,1,1,0,1,1,1,0,0
-2.086673708,1,1,0,1,0,1,0,0
-2.086632000,1,1,0,1,1,1,0,0
-2.086590333,1,1,0,1,0,1,0,0
-2.086548667,1,1,0,1,1,1,0,0
-2.086506958,1,1,0,1,0,1,0,0
-2.086465292,1,1,0,1,1,1,0,0
-2.086423583,1,1,0,1,0,1,0,0
-2.086381917,1,1,0,1,1,1,0,0
-2.086340250,1,1,0,1,0,1,0,0
-2.086298542,1,1,0,1,1,1,0,0
-2.086256875,1,1,0,1,0,1,0,0
-2.086215167,1,1,0,1,1,1,0,0
-2.086173500,1,1,0,1,0,1,0,0
-2.086131833,1,1,0,1,1,1,0,0
-2.086090125,1,1,0,1,0,1,0,0
-2.086048458,1,1,0,1,1,1,0,0
-2.086006792,1,1,0,1,0,1,0,0
-2.085965083,1,1,0,1,1,1,0,0
-2.085923417,1,1,0,1,0,1,0,0
-2.085881708,1,1,0,1,1,1,0,0
-2.085840042,1,1,0,1,0,1,0,0
-2.085798375,1,1,0,1,1,1,0,0
-2.085756667,1,1,0,1,0,1,0,0
-2.085715000,1,1,0,1,1,1,0,0
-2.085673292,1,1,0,1,0,1,0,0
-2.085631625,1,1,0,1,1,1,0,0
-2.085589958,1,1,0,1,0,1,0,0
-2.085548250,1,1,0,1,1,1,0,0
-2.085506583,1,1,0,1,0,1,0,0
-2.085464917,1,1,0,1,1,1,0,0
-2.085423208,1,1,0,1,0,1,0,0
-2.085381542,1,1,0,1,1,1,0,0
-2.085339833,1,1,0,1,0,1,0,0
-2.085298167,1,1,0,1,1,1,0,0
-2.085256500,1,1,0,1,0,1,0,0
-2.085214792,1,1,0,1,1,1,0,0
-2.085173125,1,1,0,1,0,1,0,0
-2.085131458,1,1,0,1,1,1,0,0
-2.085089750,1,1,0,1,0,1,0,0
-2.085048083,1,1,0,1,1,1,0,0
-2.085006375,1,1,0,1,0,1,0,0
-2.084964708,1,1,0,1,1,1,0,0
-2.084923042,1,1,0,1,0,1,0,0
-2.084881333,1,1,0,1,1,1,0,0
-2.084839667,1,1,0,1,0,1,0,0
-2.084797958,1,1,0,1,1,1,0,0
-2.084756292,1,1,0,1,0,1,0,0
-2.084714625,1,1,0,1,1,1,0,0
-2.084672917,1,1,0,1,0,1,0,0
-2.084631250,1,1,0,1,1,1,0,0
-2.084589583,1,1,0,1,0,1,0,0
-2.084547875,1,1,0,1,1,1,0,0
-2.084506208,1,1,0,1,0,1,0,0
-2.084464500,1,1,0,1,1,1,0,0
-2.084422833,1,1,0,1,0,1,0,0
-2.084381167,1,1,0,1,1,1,0,0
-2.084339458,1,1,0,1,0,1,0,0
-2.084297792,1,1,0,1,1,1,0,0
-2.084256083,1,1,0,1,0,1,0,0
-2.084214417,1,1,0,1,1,1,0,0
-2.084172750,1,1,0,1,0,1,0,0
-2.084131042,1,1,0,1,1,1,0,0
-2.084089375,1,1,0,1,0,1,0,0
-2.084047708,1,1,0,1,1,1,0,0
-2.084006000,1,1,0,1,0,1,0,0
-2.083964333,1,1,0,1,1,1,0,0
-2.083922625,1,1,0,1,0,1,0,0
-2.083880958,1,1,0,1,1,1,0,0
-2.083839292,1,1,0,1,0,1,0,0
-2.083797583,1,1,0,1,1,1,0,0
-2.083755917,1,1,0,1,0,1,0,0
-2.083714208,1,1,0,1,1,1,0,0
-2.083672542,1,1,0,1,0,1,0,0
-2.083630875,1,1,0,1,1,1,0,0
-2.083589167,1,1,0,1,0,1,0,0
-2.083547500,1,1,0,1,1,1,0,0
-2.083505833,1,1,0,1,0,1,0,0
-2.083464125,1,1,0,1,1,1,0,0
-2.083422458,1,1,0,1,0,1,0,0
-2.083380750,1,1,0,1,1,1,0,0
-2.083339083,1,1,0,1,0,1,0,0
-2.083297417,1,1,0,1,1,1,0,0
-2.083255708,1,1,0,1,0,1,0,0
-2.083214042,1,1,0,1,1,1,0,0
-2.083172375,1,1,0,1,0,1,0,0
-2.083130667,1,1,0,1,1,1,0,0
-2.083089000,1,1,0,1,0,1,0,0
